sample,link
TCGA-A6-A565,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A6-A565-01Z-00-DX1"">TCGA-A6-A565-01Z-00-DX1</a>"
TCGA-A7-A6VY,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A7-A6VY-01Z-00-DX1"">TCGA-A7-A6VY-01Z-00-DX1</a>"
TCGA-A8-A06N,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A06N-01Z-00-DX1"">TCGA-A8-A06N-01Z-00-DX1</a>"
TCGA-A8-A07C,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A07C-01Z-00-DX1"">TCGA-A8-A07C-01Z-00-DX1</a>"
TCGA-A8-A081,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A081-01Z-00-DX1"">TCGA-A8-A081-01Z-00-DX1</a>"
TCGA-A8-A08A,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A08A-01Z-00-DX1"">TCGA-A8-A08A-01Z-00-DX1</a>"
TCGA-A8-A08B,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A08B-01Z-00-DX1"">TCGA-A8-A08B-01Z-00-DX1</a>"
TCGA-A8-A08O,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A08O-01Z-00-DX1"">TCGA-A8-A08O-01Z-00-DX1</a>"
TCGA-A8-A099,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A099-01Z-00-DX1"">TCGA-A8-A099-01Z-00-DX1</a>"
TCGA-A8-A09X,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A09X-01Z-00-DX1"">TCGA-A8-A09X-01Z-00-DX1</a>"
TCGA-A8-A0A2,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-A8-A0A2-01Z-00-DX1"">TCGA-A8-A0A2-01Z-00-DX1</a>"
TCGA-AA-3525,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-AA-3525-01Z-00-DX1"">TCGA-AA-3525-01Z-00-DX1</a>"
TCGA-AA-3664,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-AA-3664-01Z-00-DX1"">TCGA-AA-3664-01Z-00-DX1</a>"
TCGA-AA-3667,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-AA-3667-01Z-00-DX1"">TCGA-AA-3667-01Z-00-DX1</a>"
TCGA-AA-3684,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-AA-3684-01Z-00-DX1"">TCGA-AA-3684-01Z-00-DX1</a>"
TCGA-AA-3812,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-AA-3812-01Z-00-DX1"">TCGA-AA-3812-01Z-00-DX1</a>"
